movie_title,actor_count,actors_list
Dune Part Two,17,"Timothée_Chalamet, Zendaya, Rebecca_Ferguson, Javier_Bardem, Josh_Brolin, Austin_Butler, Florence_Pugh, Dave_Bautista, Christopher_Walken, Léa_Seydoux, Stellan_Skarsgård, Charlotte_Rampling, Souheila_Yacoub, Roger_Yuan, Babs_Olusanmokun, Alison_Halstead, Giusi_Merli"
Eternal Sunshine of the Spotless Mind,16,"Jim_Carrey, Kate_Winslet, Tom_Wilkinson, Gerry_Robert_Byrne, Elijah_Wood, Thomas_Jay_Ryan, Mark_Ruffalo, Jane_Adams, David_Cross, Kirsten_Dunst, Debbon_Ayer, Amir_Ali_Said, Paulie_Litt, Josh_Flitter, Lola_Daehler, Deirdre_O'Connell"
Fargo,13,"William_H._Macy, Frances_McDormand, Steve_Buscemi, Peter_Stormare, Kristin_Rudrüd, Harve_Presnell, Tony_Denman, Gary_Houston, Melissa_Peterman, Steve_Reevis, Warren_Keith, Larry_Brandenburg, James_Gaulke"
Fight Club,14,"Brad_Pitt, Edward_Norton, Meat_Loaf, Zach_Grenier, Richmond_Arquette, David_Andrews, Eugenie_Bondurant, Christina_Cabot, Helena_Bonham_Carter, Rachel_Singer, Tim_DeZarn, Ezra_Buzzington, Bob_Stephenson, Charlie_Dell"
Finding Nemo,18,"Albert_Brooks, Ellen_DeGeneres, Alexander_Gould, Willem_Dafoe, Brad_Garrett, Allison_Janney, Austin_Pendleton, Stephen_Root, Vicki_Lewis, Joe_Ranft, Geoffrey_Rush, Andrew_Stanton, Elizabeth_Perkins, Nicholas_Bird, Bob_Peterson, Barry_Humphries, Eric_Bana, Bruce_Spence"
For a Few Dollars More,9,"Clint_Eastwood, Lee_Van_Cleef, Gian_Maria_Volontè, Luigi_Pistilli, Klaus_Kinski, Benito_Stefanelli, Aldo_Sambrell, Roberto_Camardiel, Tomás_Blanco"
Ford v Ferrari,18,"Matt_Damon, Christian_Bale, Jon_Bernthal, Caitríona_Balfe, Josh_Lucas, Noah_Jupe, Tracy_Letts, Remo_Girone, Ray_McKinnon, JJ_Feild, Jack_McMullen, Corrado_Invernizzi, Joe_Williamson, Ian_Harding, Christopher_Darga, Shawn_Law, Emil_Beheshti, Darrin_Prescott"
Forrest Gump,11,"Tom_Hanks, Robin_Wright, Gary_Sinise, Rebecca_Williams, Sally_Field, Michael_Conner_Humphreys, Bob_Penny, Sam_Anderson, Margo_Moorer, Peter_Dobson, Siobhan_Fallon_Hogan"
Full Metal Jacket,16,"Matthew_Modine, R._Lee_Ermey, Vincent_D'Onofrio, Adam_Baldwin, Dorian_Harewood, Kevyn_Major_Howard, Arliss_Howard, Ed_O'Ross, John_Terry, Kieron_Jecchinis, Kirk_Taylor, Tim_Colceri, Jon_Stafford, Bruce_Boa, Sal_Lopez, Gary_Landon_Mills"
Gangs of Wasseypur,15,"Manoj_Bajpayee, Nawazuddin_Siddiqui, Tigmanshu_Dhulia, Richa_Chadha, Reema_Sen, Piyush_Mishra, Huma_Qureshi, Jaideep_Ahlawat, Vineet_Kumar_Singh, Pankaj_Tripathi, Jameel_Khan, Rajkummar_Rao, Vipin_Sharma, Anurita_Jha, Faisal_Malik"
Gladiator,16,"Russell_Crowe, Joaquin_Phoenix, Connie_Nielsen, Oliver_Reed, Richard_Harris, Derek_Jacobi, Djimon_Hounsou, David_Schofield, John_Shrapnel, Tomas_Arana, Ralf_Moeller, Spencer_Treat_Clark, David_Hemmings, Tommy_Flanagan, Sven-Ole_Thorsen, Omid_Djalili"
Gone Girl,18,"Ben_Affleck, Rosamund_Pike, Neil_Patrick_Harris, Tyler_Perry, Carrie_Coon, Kim_Dickens, Patrick_Fugit, David_Clennon, Lisa_Banes, Missi_Pyle, Emily_Ratajkowski, Casey_Wilson, Lola_Kirke, Boyd_Holbrook, Sela_Ward, Lee_Norris, Jamie_McShane, Leonard_Kelly-Young"
